variable,question,label,bank,section,touchpoint,subgroup,role,scale_max,include,n_terisi,ada_di_data
T_KC2_32,Pendingin ruangan di ruang tunggu sejuk - XYZ,Pendingin ruangan di ruang tunggu sejuk,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,1,1729,Ya
T_KC1_12,Ruang tunggu nyaman,Ruang tunggu nyaman,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,1,1730,Ya
T_KC2_35,Ruang tunggu nyaman - XYZ,Ruang tunggu nyaman,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,1,1727,Ya
T_KC1_14,Tersedia TV di ruang tunggu,Tersedia TV di ruang tunggu,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,1,1730,Ya
T_KC2_41,Tersedia TV di ruang tunggu - XYZ,Tersedia TV di ruang tunggu,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,1,1726,Ya
T_KC1_10,Tersedia tempat duduk yang cukup di ruang tunggu,Tersedia tempat duduk yang cukup di ruang tunggu,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,1,1730,Ya
T_KC2_29,Tersedia tempat duduk yang cukup di ruang tunggu - XYZ,Tersedia tempat duduk yang cukup di ruang tunggu,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,1,1729,Ya
T_KC2_72,Kemudahan mengisi data-data pembukaan rekening baru pada e-form (formulir elektronik) - kompetitor,Kemudahan mengisi data-data pembukaan rekening baru pada e-…,Kompetitor,Branch Facilities,Branch Facilities,Sarana Pendukung,Atribut,6,0,539,Ya
T_KC1_24,Kemudahan mengisi data-data pembukaan rekening baru pada e-form (formulir elektronik),Kemudahan mengisi data-data pembukaan rekening baru pada e-…,XYZ,Branch Facilities,Branch Facilities,Sarana Pendukung,Atribut,6,1,1730,Ya
T_KC2_71,Kemudahan mengisi data-data pembukaan rekening baru pada e-form (formulir elektronik) - XYZ,Kemudahan mengisi data-data pembukaan rekening baru pada e-…,XYZ,Branch Facilities,Branch Facilities,Sarana Pendukung,Atribut,6,1,1704,Ya
T_KC2_96,Air selalu mengalir dengan lancar di semua keran yang ada di toilet - kompetitor,Air selalu mengalir dengan lancar di semua keran yang ada d…,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,542,Ya
T_KC2_93,Selalu tersedia sabun pencuci tangan di toilet - kompetitor,Selalu tersedia sabun pencuci tangan di toilet,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,543,Ya
T_KC2_90,Selalu tersedia tisu di toilet - kompetitor,Selalu tersedia tisu di toilet,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,542,Ya
T_KC2_75,Terdapat petunjuk arah ke toilet - kompetitor,Terdapat petunjuk arah ke toilet,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,544,Ya
T_KC2_102,Terdapat tempat sampah di toilet dan mudah ditemukan - kompetitor,Terdapat tempat sampah di toilet dan mudah ditemukan,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,542,Ya
T_KC2_78,Terdapat toilet di cabang - kompetitor,Terdapat toilet di cabang,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,543,Ya
T_KC2_57,"Tersedia penunjuk arah ruang pelayanan nasabah yang jelas/mudah terlihat (CS, Teller, Toilet, dan bisnis unit lainnya) - kompetitor",Tersedia penunjuk arah ruang pelayanan nasabah yang jelas/m…,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,544,Ya
T_KC2_87,Tersedia wastafel di area toilet - kompetitor,Tersedia wastafel di area toilet,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,543,Ya
T_KC2_81,Toilet bersih - kompetitor,Toilet bersih,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,541,Ya
T_KC2_99,Toilet selalu berfungsi dengan baik - kompetitor,Toilet selalu berfungsi dengan baik,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,542,Ya
T_KC2_84,Toilet selalu harum dan tidak bau - kompetitor,Toilet selalu harum dan tidak bau,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,542,Ya
T_KC1_32,Air selalu mengalir dengan lancar di semua keran yang ada di toilet,Air selalu mengalir dengan lancar di semua keran yang ada d…,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1730,Ya
T_KC2_95,Air selalu mengalir dengan lancar di semua keran yang ada di toilet - XYZ,Air selalu mengalir dengan lancar di semua keran yang ada d…,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1722,Ya
T_KC1_31,Selalu tersedia sabun pencuci tangan di toilet,Selalu tersedia sabun pencuci tangan di toilet,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1730,Ya
T_KC2_92,Selalu tersedia sabun pencuci tangan di toilet - XYZ,Selalu tersedia sabun pencuci tangan di toilet,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1719,Ya
T_KC1_30,Selalu tersedia tisu di toilet,Selalu tersedia tisu di toilet,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1730,Ya
T_KC2_89,Selalu tersedia tisu di toilet - XYZ,Selalu tersedia tisu di toilet,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1722,Ya
T_KC1_25,Terdapat petunjuk arah ke toilet,Terdapat petunjuk arah ke toilet,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1730,Ya
T_KC2_74,Terdapat petunjuk arah ke toilet - XYZ,Terdapat petunjuk arah ke toilet,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1724,Ya
T_KC1_34,Terdapat tempat sampah di toilet dan mudah ditemukan,Terdapat tempat sampah di toilet dan mudah ditemukan,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1730,Ya
T_KC2_101,Terdapat tempat sampah di toilet dan mudah ditemukan - XYZ,Terdapat tempat sampah di toilet dan mudah ditemukan,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1723,Ya
T_KC1_26,Terdapat toilet di cabang,Terdapat toilet di cabang,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1730,Ya
T_KC2_77,Terdapat toilet di cabang - XYZ,Terdapat toilet di cabang,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1726,Ya
T_KC1_19,"Tersedia penunjuk arah ruang pelayanan nasabah yang jelas/mudah terlihat (CS, Teller, Toilet, dan bisnis unit lainnya)",Tersedia penunjuk arah ruang pelayanan nasabah yang jelas/m…,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1730,Ya
T_KC2_56,"Tersedia penunjuk arah ruang pelayanan nasabah yang jelas/mudah terlihat (CS, Teller, Toilet, dan bisnis unit lainnya) - XYZ",Tersedia penunjuk arah ruang pelayanan nasabah yang jelas/m…,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1729,Ya
T_KC1_29,Tersedia wastafel di area toilet,Tersedia wastafel di area toilet,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1730,Ya
T_KC2_86,Tersedia wastafel di area toilet - XYZ,Tersedia wastafel di area toilet,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1723,Ya
T_KC1_27,Toilet bersih,Toilet bersih,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1730,Ya
T_KC2_80,Toilet bersih - XYZ,Toilet bersih,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1717,Ya
T_KC1_33,Toilet selalu berfungsi dengan baik,Toilet selalu berfungsi dengan baik,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1730,Ya
T_KC2_98,Toilet selalu berfungsi dengan baik - XYZ,Toilet selalu berfungsi dengan baik,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1722,Ya
T_KC1_28,Toilet selalu harum dan tidak bau,Toilet selalu harum dan tidak bau,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1730,Ya
T_KC2_83,Toilet selalu harum dan tidak bau - XYZ,Toilet selalu harum dan tidak bau,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1722,Ya
T_CS3_15,Cepat dalam memberikan layanan - kompetitor,Cepat dalam memberikan layanan,Kompetitor,Service Experience,Customer Service,Kecepatan & Ketanggapan,Atribut,6,0,331,Ya
T_CS3_60,"Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah) - kompetitor","Menginformasikan produk, promo, dan kebijakan terbaru kepad…",Kompetitor,Service Experience,Customer Service,Kecepatan & Ketanggapan,Atribut,6,0,332,Ya
T_CS3_21,Waktu antrian di CS cepat - kompetitor,Waktu antrian di CS cepat,Kompetitor,Service Experience,Customer Service,Kecepatan & Ketanggapan,Atribut,6,0,332,Ya
T_CS2_5,Cepat dalam memberikan layanan,Cepat dalam memberikan layanan,XYZ,Service Experience,Customer Service,Kecepatan & Ketanggapan,Atribut,6,1,1046,Ya
T_CS3_14,Cepat dalam memberikan layanan - XYZ,Cepat dalam memberikan layanan,XYZ,Service Experience,Customer Service,Kecepatan & Ketanggapan,Atribut,6,1,1045,Ya
T_CS2_20,"Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah)","Menginformasikan produk, promo, dan kebijakan terbaru kepad…",XYZ,Service Experience,Customer Service,Kecepatan & Ketanggapan,Atribut,6,1,1046,Ya
T_CS3_59,"Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah) - XYZ","Menginformasikan produk, promo, dan kebijakan terbaru kepad…",XYZ,Service Experience,Customer Service,Kecepatan & Ketanggapan,Atribut,6,1,1045,Ya
T_CS2_7,Waktu antrian di CS cepat,Waktu antrian di CS cepat,XYZ,Service Experience,Customer Service,Kecepatan & Ketanggapan,Atribut,6,1,1046,Ya
T_CS3_20,Waktu antrian di CS cepat - XYZ,Waktu antrian di CS cepat,XYZ,Service Experience,Customer Service,Kecepatan & Ketanggapan,Atribut,6,1,1043,Ya
T_CS3_27,CS memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CS ketika menjelaskan produk kepada nasabah - kompetitor,CS memiliki pengetahuan dalam menjawab pertanyaan nasabah a…,Kompetitor,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,0,331,Ya
T_CS3_36,CS menjelaskan proses pembukaan rekening baru dengan e-form (formulir elektronik) dengan baik - kompetitor,CS menjelaskan proses pembukaan rekening baru dengan e-form…,Kompetitor,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,0,328,Ya
T_CS3_39,Memberikan informasi yang lengkap dan akurat - kompetitor,Memberikan informasi yang lengkap dan akurat,Kompetitor,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,0,331,Ya
T_CS3_12,Memberikan solusi yang tepat terhadap permasalahan nasabah - kompetitor,Memberikan solusi yang tepat terhadap permasalahan nasabah,Kompetitor,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,0,331,Ya
T_CS3_9,Mengetahui pengetahuan yang baik tentang produk perbankan - kompetitor,Mengetahui pengetahuan yang baik tentang produk perbankan,Kompetitor,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,0,331,Ya
T_CS3_18,Teliti dalam memberikan layanan - kompetitor,Teliti dalam memberikan layanan,Kompetitor,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,0,331,Ya
T_CS3_69,Terdapat informasi/signage terkait status transaksi CS - kompetitor,Terdapat informasi/signage terkait status transaksi CS,Kompetitor,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,0,331,Ya
T_CS2_9,CS memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CS ketika menjelaskan produk kepada nasabah,CS memiliki pengetahuan dalam menjawab pertanyaan nasabah a…,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,1,1046,Ya
T_CS3_26,CS memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CS ketika menjelaskan produk kepada nasabah - XYZ,CS memiliki pengetahuan dalam menjawab pertanyaan nasabah a…,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,1,1045,Ya
T_CS2_12,CS menjelaskan proses pembukaan rekening baru dengan e-form (formulir elektronik) dengan baik,CS menjelaskan proses pembukaan rekening baru dengan e-form…,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,1,1046,Ya
T_CS3_35,CS menjelaskan proses pembukaan rekening baru dengan e-form (formulir elektronik) dengan baik - XYZ,CS menjelaskan proses pembukaan rekening baru dengan e-form…,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,1,1040,Ya
T_CS2_13,Memberikan informasi yang lengkap dan akurat,Memberikan informasi yang lengkap dan akurat,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,1,1046,Ya
T_CS3_38,Memberikan informasi yang lengkap dan akurat - XYZ,Memberikan informasi yang lengkap dan akurat,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,1,1046,Ya
T_CS2_4,Memberikan solusi yang tepat terhadap permasalahan nasabah,Memberikan solusi yang tepat terhadap permasalahan nasabah,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,1,1046,Ya
T_CS3_11,Memberikan solusi yang tepat terhadap permasalahan nasabah - XYZ,Memberikan solusi yang tepat terhadap permasalahan nasabah,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,1,1045,Ya
T_CS2_3,Mengetahui pengetahuan yang baik tentang produk perbankan,Mengetahui pengetahuan yang baik tentang produk perbankan,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,1,1046,Ya
T_CS3_8,Mengetahui pengetahuan yang baik tentang produk perbankan - XYZ,Mengetahui pengetahuan yang baik tentang produk perbankan,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,1,1045,Ya
T_CS2_6,Teliti dalam memberikan layanan,Teliti dalam memberikan layanan,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,1,1046,Ya
T_CS3_17,Teliti dalam memberikan layanan - XYZ,Teliti dalam memberikan layanan,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,1,1046,Ya
T_CS2_23,Terdapat informasi/signage terkait status transaksi CS,Terdapat informasi/signage terkait status transaksi CS,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,1,1046,Ya
T_CS3_68,Terdapat informasi/signage terkait status transaksi CS - XYZ,Terdapat informasi/signage terkait status transaksi CS,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,1,1043,Ya
T_CS3_72,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap CUSTOMER SERVICE bank….. - kompetitor","Dengan mempertimbangkan berbagai hal, bagaimana penilaian k…",Kompetitor,Service Experience,Customer Service,Overall,Overall,6,0,332,Ya
T_CS3_71,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap CUSTOMER SERVICE bank….. - XYZ","Dengan mempertimbangkan berbagai hal, bagaimana penilaian k…",XYZ,Service Experience,Customer Service,Overall,Overall,6,1,1046,Ya
T_CS3_33,"CS memberikan edukasi tentang penggunaan e-channel (ATM, Mobile Banking, dll) - kompetitor","CS memberikan edukasi tentang penggunaan e-channel (ATM, Mo…",Kompetitor,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,0,331,Ya
T_CS3_24,CS memiliki kehandalan sistem komputer di meja CS (online) - kompetitor,CS memiliki kehandalan sistem komputer di meja CS (online),Kompetitor,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,0,332,Ya
T_CS3_30,CS memiliki pemahaman terhadap permintaan/permasalahan nasabah - kompetitor,CS memiliki pemahaman terhadap permintaan/permasalahan nasa…,Kompetitor,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,0,332,Ya
T_CS3_63,CSnya menawarkan bantuan lain ketika akan mengakhiri layanan - kompetitor,CSnya menawarkan bantuan lain ketika akan mengakhiri layanan,Kompetitor,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,0,332,Ya
T_CS3_57,CSnya mengucapkan terima kasih saat mengakhiri layanan - kompetitor,CSnya mengucapkan terima kasih saat mengakhiri layanan,Kompetitor,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,0,332,Ya
T_CS3_6,Jumlah Customer Service yang melayani cukup pada saat jam sibuk (meja CS tidak ada yang kosong) - kompetitor,Jumlah Customer Service yang melayani cukup pada saat jam s…,Kompetitor,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,0,332,Ya
T_CS3_51,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah) - kompetitor.1,Memberikan pelayanan dengan pendekatan personal (menyebut n…,Kompetitor,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,0,331,Ya
T_CS3_66,Terdapat papan nama CS di area meja kerja CS - kompetitor,Terdapat papan nama CS di area meja kerja CS,Kompetitor,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,0,332,Ya
T_CS3_42,Tidak mengobrol dengan rekan kerja - kompetitor,Tidak mengobrol dengan rekan kerja,Kompetitor,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,0,332,Ya
T_CS2_11,"CS memberikan edukasi tentang penggunaan e-channel (ATM, Mobile Banking, dll)","CS memberikan edukasi tentang penggunaan e-channel (ATM, Mo…",XYZ,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,1,1046,Ya
T_CS3_32,"CS memberikan edukasi tentang penggunaan e-channel (ATM, Mobile Banking, dll) - XYZ","CS memberikan edukasi tentang penggunaan e-channel (ATM, Mo…",XYZ,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,1,1046,Ya
T_CS2_8,CS memiliki kehandalan sistem komputer di meja CS (online),CS memiliki kehandalan sistem komputer di meja CS (online),XYZ,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,1,1046,Ya
T_CS3_23,CS memiliki kehandalan sistem komputer di meja CS (online) - XYZ,CS memiliki kehandalan sistem komputer di meja CS (online),XYZ,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,1,1044,Ya
T_CS2_10,CS memiliki pemahaman terhadap permintaan/permasalahan nasabah,CS memiliki pemahaman terhadap permintaan/permasalahan nasa…,XYZ,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,1,1046,Ya
T_CS3_29,CS memiliki pemahaman terhadap permintaan/permasalahan nasabah - XYZ,CS memiliki pemahaman terhadap permintaan/permasalahan nasa…,XYZ,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,1,1046,Ya
T_CS2_21,CSnya menawarkan bantuan lain ketika akan mengakhiri layanan,CSnya menawarkan bantuan lain ketika akan mengakhiri layanan,XYZ,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,1,1046,Ya
T_CS3_62,CSnya menawarkan bantuan lain ketika akan mengakhiri layanan - XYZ,CSnya menawarkan bantuan lain ketika akan mengakhiri layanan,XYZ,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,1,1046,Ya
T_CS2_19,CSnya mengucapkan terima kasih saat mengakhiri layanan,CSnya mengucapkan terima kasih saat mengakhiri layanan,XYZ,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,1,1046,Ya
T_CS3_56,CSnya mengucapkan terima kasih saat mengakhiri layanan - XYZ,CSnya mengucapkan terima kasih saat mengakhiri layanan,XYZ,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,1,1043,Ya
T_CS2_2,Jumlah Customer Service yang melayani cukup pada saat jam sibuk (meja CS tidak ada yang kosong),Jumlah Customer Service yang melayani cukup pada saat jam s…,XYZ,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,1,1046,Ya
T_CS3_5,Jumlah Customer Service yang melayani cukup pada saat jam sibuk (meja CS tidak ada yang kosong) - XYZ,Jumlah Customer Service yang melayani cukup pada saat jam s…,XYZ,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,1,1043,Ya
T_CS2_17,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah).1,Memberikan pelayanan dengan pendekatan personal (menyebut n…,XYZ,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,1,1046,Ya
T_CS3_50,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah) - XYZ.1,Memberikan pelayanan dengan pendekatan personal (menyebut n…,XYZ,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,1,1046,Ya
T_CS2_22,Terdapat papan nama CS di area meja kerja CS,Terdapat papan nama CS di area meja kerja CS,XYZ,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,1,1046,Ya
T_CS3_65,Terdapat papan nama CS di area meja kerja CS - XYZ,Terdapat papan nama CS di area meja kerja CS,XYZ,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,1,1044,Ya
T_CS2_14,Tidak mengobrol dengan rekan kerja,Tidak mengobrol dengan rekan kerja,XYZ,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,1,1046,Ya
T_CS3_41,Tidak mengobrol dengan rekan kerja - XYZ,Tidak mengobrol dengan rekan kerja,XYZ,Service Experience,Customer Service,Pelayanan Umum,Atribut,6,1,1045,Ya
T_CS3_45,CS berpenampilan rapi dan menarik - kompetitor,CS berpenampilan rapi dan menarik,Kompetitor,Service Experience,Customer Service,Penampilan,Atribut,6,0,332,Ya
T_CS2_15,CS berpenampilan rapi dan menarik,CS berpenampilan rapi dan menarik,XYZ,Service Experience,Customer Service,Penampilan,Atribut,6,1,1046,Ya
T_CS3_44,CS berpenampilan rapi dan menarik - XYZ,CS berpenampilan rapi dan menarik,XYZ,Service Experience,Customer Service,Penampilan,Atribut,6,1,1046,Ya
T_CS3_3,CS ramah selama melayani (tersenyum dan tidak jutek selama melayani) - kompetitor,CS ramah selama melayani (tersenyum dan tidak jutek selama …,Kompetitor,Service Experience,Customer Service,Sikap & Keramahan,Atribut,6,0,332,Ya
T_CS3_54,CSnya mengucapkan salam saat menyambut dan mengakhiri layanan - kompetitor,CSnya mengucapkan salam saat menyambut dan mengakhiri layan…,Kompetitor,Service Experience,Customer Service,Sikap & Keramahan,Atribut,6,0,332,Ya
T_CS3_48,Menunjukkan keinginan untuk membantu nasabah - kompetitor,Menunjukkan keinginan untuk membantu nasabah,Kompetitor,Service Experience,Customer Service,Sikap & Keramahan,Atribut,6,0,332,Ya
T_CS2_1,CS ramah selama melayani (tersenyum dan tidak jutek selama melayani),CS ramah selama melayani (tersenyum dan tidak jutek selama …,XYZ,Service Experience,Customer Service,Sikap & Keramahan,Atribut,6,1,1046,Ya
T_CS3_2,CS ramah selama melayani (tersenyum dan tidak jutek selama melayani) - XYZ,CS ramah selama melayani (tersenyum dan tidak jutek selama …,XYZ,Service Experience,Customer Service,Sikap & Keramahan,Atribut,6,1,1043,Ya
T_CS2_18,CSnya mengucapkan salam saat menyambut dan mengakhiri layanan,CSnya mengucapkan salam saat menyambut dan mengakhiri layan…,XYZ,Service Experience,Customer Service,Sikap & Keramahan,Atribut,6,1,1046,Ya
T_CS3_53,CSnya mengucapkan salam saat menyambut dan mengakhiri layanan - XYZ,CSnya mengucapkan salam saat menyambut dan mengakhiri layan…,XYZ,Service Experience,Customer Service,Sikap & Keramahan,Atribut,6,1,1046,Ya
T_CS2_16,Menunjukkan keinginan untuk membantu nasabah,Menunjukkan keinginan untuk membantu nasabah,XYZ,Service Experience,Customer Service,Sikap & Keramahan,Atribut,6,1,1046,Ya
T_CS3_47,Menunjukkan keinginan untuk membantu nasabah - XYZ,Menunjukkan keinginan untuk membantu nasabah,XYZ,Service Experience,Customer Service,Sikap & Keramahan,Atribut,6,1,1046,Ya
T_TL3_9,Layanan yang diberikan teller cepat - kompetitor,Layanan yang diberikan teller cepat,Kompetitor,Service Experience,Teller,Kecepatan & Ketanggapan,Atribut,6,0,347,Ya
T_TL3_6,Sistem antrian yang dilengkapi dengan nomor antrian - kompetitor,Sistem antrian yang dilengkapi dengan nomor antrian,Kompetitor,Service Experience,Teller,Kecepatan & Ketanggapan,Atribut,6,0,347,Ya
T_TL3_3,Waktu antrian di Teller cepat - kompetitor,Waktu antrian di Teller cepat,Kompetitor,Service Experience,Teller,Kecepatan & Ketanggapan,Atribut,6,0,347,Ya
T_TL2_3,Layanan yang diberikan teller cepat,Layanan yang diberikan teller cepat,XYZ,Service Experience,Teller,Kecepatan & Ketanggapan,Atribut,6,1,1069,Ya
T_TL3_8,Layanan yang diberikan teller cepat - XYZ,Layanan yang diberikan teller cepat,XYZ,Service Experience,Teller,Kecepatan & Ketanggapan,Atribut,6,1,1066,Ya
T_TL2_2,Sistem antrian yang dilengkapi dengan nomor antrian,Sistem antrian yang dilengkapi dengan nomor antrian,XYZ,Service Experience,Teller,Kecepatan & Ketanggapan,Atribut,6,1,1069,Ya
T_TL3_5,Sistem antrian yang dilengkapi dengan nomor antrian - XYZ,Sistem antrian yang dilengkapi dengan nomor antrian,XYZ,Service Experience,Teller,Kecepatan & Ketanggapan,Atribut,6,1,1068,Ya
T_TL2_1,Waktu antrian di Teller cepat,Waktu antrian di Teller cepat,XYZ,Service Experience,Teller,Kecepatan & Ketanggapan,Atribut,6,1,1069,Ya
T_TL3_2,Waktu antrian di Teller cepat - XYZ,Waktu antrian di Teller cepat,XYZ,Service Experience,Teller,Kecepatan & Ketanggapan,Atribut,6,1,1068,Ya
T_TL3_18,Akurat dalam melakukan transaksi (Tidak salah dalam melakukan transaksi) - kompetitor,Akurat dalam melakukan transaksi (Tidak salah dalam melakuk…,Kompetitor,Service Experience,Teller,Kompetensi & Solusi,Atribut,6,0,348,Ya
T_TL3_24,Teller memiliki pengetahuan yang memadai - kompetitor,Teller memiliki pengetahuan yang memadai,Kompetitor,Service Experience,Teller,Kompetensi & Solusi,Atribut,6,0,348,Ya
T_TL3_57,Terdapat informasi/signage transaksi di meja kerja teller - kompetitor,Terdapat informasi/signage transaksi di meja kerja teller,Kompetitor,Service Experience,Teller,Kompetensi & Solusi,Atribut,6,0,344,Ya
T_TL2_6,Akurat dalam melakukan transaksi (Tidak salah dalam melakukan transaksi),Akurat dalam melakukan transaksi (Tidak salah dalam melakuk…,XYZ,Service Experience,Teller,Kompetensi & Solusi,Atribut,6,1,1069,Ya
T_TL3_17,Akurat dalam melakukan transaksi (Tidak salah dalam melakukan transaksi) - XYZ,Akurat dalam melakukan transaksi (Tidak salah dalam melakuk…,XYZ,Service Experience,Teller,Kompetensi & Solusi,Atribut,6,1,1068,Ya
T_TL2_8,Teller memiliki pengetahuan yang memadai,Teller memiliki pengetahuan yang memadai,XYZ,Service Experience,Teller,Kompetensi & Solusi,Atribut,6,1,1069,Ya
T_TL3_23,Teller memiliki pengetahuan yang memadai - XYZ,Teller memiliki pengetahuan yang memadai,XYZ,Service Experience,Teller,Kompetensi & Solusi,Atribut,6,1,1069,Ya
T_TL2_19,Terdapat informasi/signage transaksi di meja kerja teller,Terdapat informasi/signage transaksi di meja kerja teller,XYZ,Service Experience,Teller,Kompetensi & Solusi,Atribut,6,1,1069,Ya
T_TL3_56,Terdapat informasi/signage transaksi di meja kerja teller - XYZ,Terdapat informasi/signage transaksi di meja kerja teller,XYZ,Service Experience,Teller,Kompetensi & Solusi,Atribut,6,1,1069,Ya
